"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","steam_games_21293","vg_sales_7485","0.003386814264146092",,"Deliverace","Defiance","Deliverace","Defiance","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Skyjaz Games","Trion Worlds","Skyjaz Games","Trion Worlds","0.4444444444444444","0.4444444444444444","2018-01-01T00:00","2013-01-01T00:00","2018-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_29510","vg_sales_9841","0.003386814264146092",,"RocketGirl","Rocksmith","RocketGirl","Rocksmith","0.0","0.0","windows","PC","windows","PC","1.0","1.0","SoftwareByEugene LLC","Unknown","SoftwareByEugene LLC","Unknown","0.4619047619047619","0.4619047619047619","2017-01-01T00:00","","2017-01-01T00:00","","0.0","0.0"
"WekaMatchingRule","steam_games_22667","vg_sales_8131","0.003386814264146092",,"BRKÖUT","Brink","BRKÖUT","Brink","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Stupid Massive Unbelievable Games","Bethesda Softworks","Stupid Massive Unbelievable Games","Bethesda Softworks","0.4372895622895623","0.4372895622895623","2017-01-01T00:00","2011-01-01T00:00","2017-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_1073","vg_sales_12872","0.9447585258738367",,"Front Mission Evolved","Front Mission Evolved","Front Mission Evolved","Front Mission Evolved","1.0","1.0","windows","PC","windows","PC","1.0","1.0","Square Enix","Square Enix","Square Enix","Square Enix","1.0","1.0","2010-01-01T00:00","2010-01-01T00:00","2010-01-01T00:00","2010-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_18164","vg_sales_8747","0.003386814264146092",,"Destroyer","Deponia","Destroyer","Deponia","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Degica","Daedalic","Degica","Daedalic","0.7775000000000001","0.7775000000000001","2016-01-01T00:00","2012-01-01T00:00","2016-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_415","vg_sales_14795","0.9447585258738367","1","Bully: Scholarship Edition","Bully: Scholarship Edition","Bully: Scholarship Edition","Bully: Scholarship Edition","1.0","1.0","windows","PC","windows","PC","1.0","1.0","Rockstar Games","Take-Two Interactive","Rockstar Games","Take-Two Interactive","0.4904761904761905","0.4904761904761905","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_22134","vg_sales_13834","0.003386814264146092",,"Monolith","The Movies","Monolith","The Movies","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Team D-13","Activision","Team D-13","Activision","0.3074074074074074","0.3074074074074074","2017-01-01T00:00","2005-01-01T00:00","2017-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_19074","vg_sales_14133","0.003386814264146092",,"VOI","The Void","VOI","The Void","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Yunus Ayyildiz","Mamba Games","Yunus Ayyildiz","Mamba Games","0.0","0.0","2016-01-01T00:00","2008-01-01T00:00","2016-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_38261","vg_sales_3383","0.07321175239908242",,"Death Space","Dead Space","Death Space","Dead Space","0.5","0.5","windows","PC","windows","PC","1.0","1.0","Ghost_RUS Games","Electronic Arts","Ghost_RUS Games","Electronic Arts","0.43333333333333335","0.43333333333333335","2018-01-01T00:00","2008-01-01T00:00","2018-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_32753","vg_sales_14579","0.003386814264146092",,"Synthrally","Syberia","Synthrally","Syberia","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Roseball Games","Microids","Roseball Games","Microids","0.0","0.0","2018-01-01T00:00","2002-01-01T00:00","2018-01-01T00:00","2002-01-01T00:00","0.0","0.0"
