publisher,count
AQ Interactive,5
Pinnacle,5
bitComposer Games,5
dramatic create,5
20th Century Fox Video Games,5
Happinet,5
KID,4
Xseed Games,4
Culture Brain,4
ValuSoft,4
7G//AMES,4
U.S. Gold,4
Trion Worlds,4
Touchstone,4
TopWare Interactive,4
Video System,4
Interchannel,4
TGL,4
Excalibur Publishing,4
Global A Entertainment,4
Phenomedia,4
Pioneer LDC,4
PlayV,4
Gamecock,4
LSP Games,4
Funsta,4
RedOctane,4
Encore,4
Slitherine Software,4
Laguna,4
Imagic,4
Sunrise Interactive,4
Daito,4
System Soft,4
Knowledge Adventure,4
Mercury Games,4
Media Rings,3
Mad Catz,3
Maxis,3
10TACLE Studios,3
Micro Cabin,3
System 3,3
Yuke's,3
Yacht Club Games,3
Xicat Interactive,3
Vir2L Studios,3
Valve Software,3
Tradewest,3
Tivola,3
Tigervision,3
Telstar,3
Sony Computer Entertainment America,3
Minato Station,3
Red Storm Entertainment,3
Princess Soft,3
P2 Games,3
O3 Entertainment,3
NovaLogic,3
NEC,3
NCS,3
Myelin Media,3
Mud Duck Productions,3
Slightly Mad Studios,3
MC2 Entertainment,3
Daedalic Entertainment,3
Creative Core,3
Agatsuma Entertainment,3
Jorudan,3
Jester Interactive,3
Jack of All Games,3
GN Software,3
Daedalic,3
DHM Interactive,3
Angel Studios,3
Data Design Interactive,3
Insomniac Games,3
Indie Games,3
Arika,3
Aruze Corp,3
Iceberg Interactive,3
Ascaron Entertainment GmbH,3
Hect,3
Accolade,3
Asmik Ace Entertainment,3
1C Company,3
ASC Games,3
Essential Games,3
Licensed 4U,3
Focus Multimedia,3
Experience Inc.,3
Athena,2
Nitroplus,2
Performance Designed Products,2
Dorart,2
Nippon Telenet,2
Pack-In-Video,2
Blue Byte,2
Big Fish Games,2
Groove Games,2
BPS,2
Office Create,2
Sonnet,2
HMH Interactive,2
Hamster Corporation,2
CTO SpA,2
Electronic Arts Victor,2
Elf,2
Harmonix Music Systems,2
Dusenberry Martin Racing,2
Easy Interactive,2
Revolution Software,2
Coconuts Japan,2
Cloud Imperium Games Corporation,2
Sweets,2
Data East,2
Syscom,2
Funcom,2
G.Rev,2
Red Orb,2
Rebellion Developments,2
Datam Polystar,2
Rebellion,2
Data Age,2
Flight-Plan,2
Asmik Corp,2
Flashpoint Games,2
Gainax Network Systems,2
Gakken,2
Crimson Cow,2
Game Life,2
Devolver Digital,2
Core Design Ltd.,2
Gamebridge,2
responDESIGN,2
Edia,2
Misawa,2
Vatical Entertainment,2
Media Factory,2
Lexicon Entertainment,2
Zenrin,2
Yamasa Entertainment,2
Moss,2
Views,2
Aerosoft,2
Arena Entertainment,2
Vic Tokai,2
Virtual Play Games,2
Alvion,2
Liquid Games,2
Mamba Games,2
Alawar Entertainment,2
Magix,2
Milestone S.r.l,2
NetRevo,2
imageepoch Inc.,2
HuneX,2
Yumedia,1
ASK,1
Westwood Studios,1
Xing Entertainment,1
Abylight,1
Activision Blizzard,1
Adeline Software,1
White Park Bay Software,1
Wizard Video Games,1
Sunflowers,1
Summitsoft,1
989 Sports,1
49Games,1
"mixi, Inc",1
inXile Entertainment,1
Ecole,1
EON Digital Entertainment,1
EA Games,1
Square EA,1
DreamWorks Interactive,1
Stainless Games,1
id Software,1
Starpath Corp.,1
iWin,1
DigiCube,1
fonfun,1
Strategy First,1
Detn8 Games,1
WayForward Technologies,1
2D Boy,1
T&E Soft,1
Ultravision,1
Cygames,1
Sony Music Entertainment,1
BushiRoad,1
Boost On,1
Bomb,1
Bohemia Interactive,1
Aques,1
Black Label Games,1
Berkeley,1
Tripwire Interactive,1
Type-Moon,1
CCP,1
Vap,1
Aria,1
Valve,1
Axela,1
UEP Systems,1
Ascaron Entertainment,1
UIG Entertainment,1
Universal Gamex,1
CBS Electronics,1
The Learning Company,1
Culture Publishers,1
Takuyo,1
Warp,1
Altron,1
TOHO,1
Wargaming.net,1
TYO,1
Warashi,1
Commseed,1
CokeM Interactive,1
TalonSoft,1
CPG Products,1
Team17 Software,1
TechnoSoft,1
Technos Japan Corporation,1
Codemasters Online,1
American Softworks,1
Visco,1
Tetris Online,1
Answer Software,1
Tryfirst,1
