publisher,count
Rare Ltd.,6
Matrix Games,6
Digital integration,6
Changyou,6
Minori,6
Flying Edge,6
Naver Corporation,6
Necrosoft Games,6
Sold-Out Software,6
Terry Cavanagh,6
Team Salvato,6
WizardWorks Software,6
"Micronet co., Ltd.",6
Tobuscus Game Studios,6
Grimm Bros,6
Blacklight Interactive,6
Christine Love,6
Nival,6
Bigpoint GmbH,6
Bludgeonsoft,6
Fawn Dawn Studios,6
Kitfox Games,6
Tokai Communications,5
Origin Systems,5
Warzone 2100 Project,5
Psikyo,5
Techland,5
Tripwire Interactive,5
Curve Digital,5
Audiogenic,5
D4 Enterprise,5
Blue Planet Software,5
Maxis,5
Ubisoft Blue Byte,5
Microcabin,5
Sting Entertainment,5
Midas Interactive Entertainment,5
Miniclip,5
Stardock,5
Beatshapers,5
Amusement Makers,5
AQ Interactive,5
The Label,5
Groove Games,5
Casady & Greene,5
AsiaSoft,5
Zushi Games,5
Tatsumi,5
Zuxxez Entertainment,5
Humble Bundle,5
Cases Computer Simulations,5
SoftKey,5
GameFAQs,5
Halfbrick Studios Pty Ltd,5
tinyBuild Games,5
Tiger Style,5
MC2 France,4
Adult Swim,4
Hasbro,4
Machine Zone,4
Gamecock Media Group,4
Her Interactive,4
Sony Computer Entertainment America.,4
"Artificial Life, Inc.",4
Linden Lab,4
Electro Brain,4
Zeppelin Games,4
Funcom,4
Perfect World Entertainment,4
Legend Entertainment,4
Success,4
Marvel Entertainment,4
DotEmu,4
Hanako Games,4
SomaSim,4
Mitchell Corporation,4
Ghostfire Games,4
Bulkypix,4
Dinamic Software,4
TT Games,4
Snapshot Games,4
Size Five Games,4
Bungie,4
Black Isle Studios,4
Shueisha,4
Michael Todd Games,4
Nippon Television,4
SimBin Studios,4
No Goblin,4
Media Factory,4
CRL Group,4
Maximum Games,4
Nokia,4
Cosmi Corporation,4
Artdink,4
Argus Press,4
GTE Interactive Media,4
Kaneko,4
Examu,4
Iceberg Interactive,4
Zachtronics,4
KISS,4
WhisperGames,4
K2 Network,4
JumpStart Games,4
Toei Animation,4
Tate Multimedia,4
Big Ant Studios,4
Family Soft,4
Imagination Games,4
"Acclaim Japan, Ltd.",4
GOAT Store,4
Four Leaf Studios,4
Super Nintendo Entertainment System,4
Toaplan,4
Xicat Interactive,4
Europress,4
Capybara Games,4
Monte Cristo,4
Topo Soft,4
WarnerMedia,4
Enterbrain,4
Arika,4
Atari Corporation,4
Q63107139,4
Krea Medie,4
Tomy,4
Quicksilva,4
Color Dreams,4
Sirius Software,3
SlyGames,3
Ripcord Games,3
NeocoreGames,3
Spiderweb Software,3
Slightly Mad Studios,3
Runecraft,3
Deep Silver Vienna,3
VAP Inc.,3
Crystal Dynamics,3
Davidson & Associates,3
NGD Studios,3
NCsoft,3
Rising Star Games,3
Digital Pictures,3
Time Warner Interactive,3
Players Software,3
Compute!,3
Bubble Bus Software,3
Decabry,3
Camerica,3
Chubby Pixel,3
Chunsoft,3
Pack-In-Video,3
Ravensburger Interactive Media,3
Ariolasoft,3
Nunchuck Games,3
Bold Games,3
Mud Duck Productions,3
CyberFront,3
Aquaplus,3
Peach Princess,3
Crystal Computing,3
Sierra Attractions,3
Spectrum HoloByte,3
Coktel Vision,3
Sigma Team,3
The Five powered & basics.,3
Nitroplus,3
Santa Ragione,3
Palace Software,3
RedOctane,3
Dan & Gary Games,3
Disney Mobile,3
Monolith Productions,3
Kaga Create,3
King Records,3
Europe,3
Ertal Games,3
MiniChimera Game Studio,3
Avanquest,3
Kongregate,3
Koninklijke Philips NV,3
Enlight Software,3
English,3
Laminar Research,3
Walkabout Games,3
Lego Interactive,3
Vulcan Software,3
Vortex Software,3
EA Mobile,3
Big Five Software,3
Jagex,3
Martech,3
Ivanoff Interactive,3
reLINE Software,3
Garena,3
Grandslam Entertainments,3
Grip Games,3
eGames,3
Gus Martin,3
TaleWorlds,3
TalonSoft,3
"Hopoo Games, LLC",3
Gainax,3
I'Max,3
Illusion,3
Battlefront.com,3
Innerprise Software,3
Winged Cloud,3
Magnavox,3
Erbe Software S.A.,3
Millennium Interactive,3
Atlantis Interactive Entertainment,3
Micro Power,3
Stuck In Attic,3
Media Blasters,3
Mikro-Gen,3
Vision Games,3
"SEGA of America, Inc.",2
ViacomCBS Domestic Media Networks,2
Navel,2
Cartoon Network,2
Dalcom Soft,2
Ikarion,2
SIE London Studio,2
BHV,2
SOFEL,2
Sony Pictures Digital,2
Targem Games,2
Idea Factory,2
Impressions Games,2
Yojigen,2
RuneStorm,2
Namco Bandai Partners,2
Information Global Service,2
XS Games,2
Robot Invader,2
Riverhillsoft,2
IntraCorp,2
Distant Games,2
Riot Games,2
Richard Shepherd Software,2
JAST USA,2
Jackbox Games,2
Broccoli,2
Hidden Path Entertainment,2
UltraVision,2
CAVE,2
Softnyx,2
Softdisk,2
self-published work,2
Bug-Byte,2
Glu Mobile,2
Got Game Entertainment,2
Gamigo AG,2
Atari Age,2
Digital Jesters,2
Grasshopper Manufacture,2
1Games,2
Amsoft,2
iNK Stories,2
RedSpotGames,2
etude,2
Athena,2
NVLMaker,2
HESware,2
Bart Bonte,2
Harmonix Music Systems,2
Sega Sammy Holdings,2
Sega Interactive,2
ZyX,2
Hect,2
Zoo Publishing,2
Sears,2
Aeria Games and Entertainment,2
Softstar Entertainment Inc.,2
Fathammer,2
Voltage Entertainment,2
Exidy,2
Addictive Games,2
Pixile Studios,2
Pixel Wizards,2
Legendo Entertainment AB,2
Mediatonic,2
Curtis Campion,2
Leland Corporation,2
Elite Systems,2
Elite Gudz,2
Limbic Software,2
"MediaQuest Holdings, Inc.",2
Cybersoft,2
Vogelfänger,2
Arcane Raise,2
Bohemia Interactive,2
EDOS,2
Apus Software,2
Cypronia,2
"AppSir, Inc.",2
Oxygen Games,2
Macmillan Publishers,2
Ouat Entertainment,2
OtakuMaker,2
EA DICE,2
Spinnaker Software,2
Manaccom,2
Mastertronic Group,2
Alchemist,2
Treasure,2
Metro3D,2
Nihon Bussan,2
Wild Arts,2
Brianna Wu,2
K Bros Games,2
Tokuma Shoten,2
NewKidCo,2
Don Daglow,2
Video System,2
Tommo Inc.,2
REDFOX™ Game Studio Limited,2
Creat Studios,2
Nickelodeon,2
Quest Corporation,2
Datamost,2
Datam Polystar,2
WildTangent,2
Coconuts Japan,2
Data Age,2
Krealit,2
Touchstone Pictures,2
"Micro Application, S.A.",2
Annapurna Interactive,2
Endgame Studios,2
Acquire,2
Joonas Rikkonen,2
Atari Program Exchange,1
Atari Interactive,1
Telstar Electronic Studios,1
Atari SA,1
Team Meat,1
Terraglyph Interactive Studios,1
Telenet Japan,1
Axela,1
Genki,1
Teyon,1
Thalamus Ltd,1
Alko,1
Visco Corporation,1
Ageia,1
Vochozka Trading,1
Activision Publishing Minneapolis,1
Active,1
Webfoot Technologies,1
Webzen Games,1
Windham Classics,1
Windmill Software,1
Working Designs,1
Wube Software,1
Xaviant,1
Xseed Games,1
Yamasa,1
Yuke's,1
Yutaka,1
Zeebo Brasil,1
AOL,1
AKA Acclaim,1
AGM PLAYISM,1
ACID,1
ngmoco,1
Alternative Software,1
Vicarious Visions,1
Altron,1
Toge Productions,1
Astragon,1
The Fourth Dimension,1
The Game Creators,1
Association of Teachers of Mathematics,1
The Power House,1
Artech Digital Entertainment,1
Three Fields Entertainment,1
Three Guys Game Studio,1
TikGames,1
Armor Games,1
Trilobyte,1
Vectorbeam,1
Tryzna,1
Twisted Pixel Games,1
UFO Interactive Games,1
"UPL Co., Ltd",1
UTV Indiagames,1
Ubisoft Montreal,1
Anino Games,1
Ultrasoft,1
AmerSoft,1
Amazon Game Studios,1
BBC Multimedia,1
Compile,1
BS Studios,1
Le Lombard,1
ERE Informatique,1
Edge Games,1
Eighting,1
Logic,1
Ein Prozent für unser Land,1
Legacy Interactive,1
Leaf,1
Launchworks,1
THQ Wireless,1
LLamasoft,1
Eon Digital Entertainment,1
Kogado Studio,1
Epic Records Japan,1
Kara Stone,1
Excalibur Publishing,1
JoyMasher,1
Magical Company,1
DreamWorks Animation,1
Mastiff,1
Media Rings,1
Devil Kitty Games,1
DigiPen Institute of Technology,1
NStorm,1
Digital Homicide Studios,1
Digital Leisure,1
Dinamic Multimedia,1
Milton Bradley Company,1
Milton Bradley,1
Discovery Channel,1
Distinctive Software,1
Dole Food Company,1
MicroPlay Software,1
Micro Genius,1
Meltdown Interactive Media,1
Media Vision,1
Joathrent Studios,1
Fairchild Semiconductor,1
Jakks Pacific,1
Hi-Bit Studios,1
Headup Games,1
Head Games Publishing,1
Haversine,1
Hamster Corporation,1
HTC Corporation,1
Gamepot,1
Gunjin Games Limited,1
Gamerizon,1
Grupo Zeta,1
Gamevil,1
Gremlin Industries,1
Global VR,1
Global Islamic Media Front,1
Gilsoft,1
Ghost_RUS Games,1
GameMill Publishing,1
Hoplon Infotainment,1
Itharius,1
HyperPub,1
Federation of Galaxy Explorers,1
Firefly Studios,1
Inti Creates,1
Interceptor Micros,1
Frictional Games,1
Fruitbat Factory,1
Fujisankei Communications International,1
G2 Games,1
Impresa,1
GOG.com,1
GSP Games,1
Imageepoch,1
Image Space Incorporated,1
GTE,1
Iconic Gaming Studio,1
Desk Plant,1
New Generation Software,1
Newgrounds,1
British Broadcasting Corporation,1
Buckethead Entertainment,1
Sonic Team,1
Software 2000,1
SoftSide Magazine,1
Small Rockets,1
Sledgehammer Games,1
ByteRealms,1
CENEGA CZECH,1
Cable Software,1
Shin'en Multimedia,1
SegaSoft,1
Sega Games,1
California Pacific Computer Company,1
Seemingly Pointless,1
Screen 7,1
Sony Music Entertainment Japan,1
SquarePlay Games,1
Sammy Corporation,1
St.GIGA,1
Barkers Crest Studio,1
BattleGoat Studios,1
TDK,1
System Sacom,1
Suspicious Developments,1
Bay 12 Games,1
Super Fighter Team,1
Sunstorm Interactive,1
Suncrash,1
Stumbling Cat,1
Studio Cypix,1
Stormfront Studios,1
Black Legend,1
Starwave,1
Star Theory Games,1
Samsung,1
Safari Software,1
Nintendo of America,1
Psyonix,1
PlayWay,1
Piranha Games,1
Petroglyph Games,1
People's Republic of China,1
Parsoft Interactive,1
Papyrus Design Group,1
Panic,1
Panasonic Corporation,1
Pacific Novelty,1
PC Plus,1
DK'Tronics,1
Nowcom,1
Nordic Softsales,1
Nobilis,1
Nippon Computer Systems,1
Playism,1
Q100961420,1
SS Studios,1
Q50896147,1
Carpe Fulgur,1
Root,1
Room 8 Studio,1
Centric Multimedia,1
Rock-Ola,1
Character Soft,1
Red Entertainment,1
Red Candle Games,1
Rebel Planet Creations,1
RealNetworks,1
Raw Thrills,1
Gethsemane Publishing,1
Quantum Quality Productions,1
Q98393768,1
Q9371446,1
Lighthouse Interactive,1
