"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlatformComparatorAdvanced record1Value","[0] PlatformComparatorAdvanced record2Value","[0] PlatformComparatorAdvanced record1PreprocessedValue","[0] PlatformComparatorAdvanced record2PreprocessedValue","[0] PlatformComparatorAdvanced similarity","[0] PlatformComparatorAdvanced postproccesedSimilarity","[1] TitleComparator record1Value","[1] TitleComparator record2Value","[1] TitleComparator record1PreprocessedValue","[1] TitleComparator record2PreprocessedValue","[1] TitleComparator similarity","[1] TitleComparator postproccesedSimilarity","[2] DeveloperComparator record1Value","[2] DeveloperComparator record2Value","[2] DeveloperComparator record1PreprocessedValue","[2] DeveloperComparator record2PreprocessedValue","[2] DeveloperComparator similarity","[2] DeveloperComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","steam_games_3572","wikidata_26854","0.01202105377939546",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Blockstorm","BloodRayne","Blockstorm","BloodRayne","0.0","0.0","GhostShark","Terminal Reality","GhostShark","Terminal Reality","0.0625","0.0625","2015-01-01T00:00","2002-01-01T00:00","2015-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_37340","wikidata_22301","0.01325376104979107",,"windows","Linux","windows","Linux","1.0","1.0","Temporality","terraria","Temporality","terraria","0.0","0.0","James Earl Cox III","505 Games","James Earl Cox III","505 Games","0.11111111111111116","0.11111111111111116","2018-01-01T00:00","2011-01-01T00:00","2018-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_14166","wikidata_2566","0.01060130058076173",,"linux","Microsoft Windows","linux","Microsoft Windows","1.0","1.0","Minimal","Minröj","Minimal","Minröj","0.0","0.0","Gammosaur",,"Gammosaur",,"0.0","0.0","2016-01-01T00:00","1989-01-01T00:00","2016-01-01T00:00","1989-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_23026","wikidata_1751",,"0","windows","Game Boy Advance","windows","Game Boy Advance","0.0","0.0","Prank Bros / 欢乐兄弟","Pokémon Ruby і Sapphire","Prank Bros / 欢乐兄弟","Pokémon Ruby і Sapphire","0.0","0.0","Rocky Games","Game Freak","Rocky Games","Game Freak","0.09090909090909094","0.09090909090909094","2018-01-01T00:00","2002-01-01T00:00","2018-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_14166","wikidata_2565","0.01060130058076173",,"linux","Linux","linux","Linux","1.0","1.0","Minimal","Minröj","Minimal","Minröj","0.0","0.0","Gammosaur",,"Gammosaur",,"0.0","0.0","2016-01-01T00:00","1989-01-01T00:00","2016-01-01T00:00","1989-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_35364","wikidata_31160","0.012238652322250423",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Dimetrosaur","Diablo","Dimetrosaur","Diablo","0.0","0.0","Grade 9 Games","Blizzard North","Grade 9 Games","Blizzard North","0.0714285714285714","0.0714285714285714","2018-01-01T00:00","1996-01-01T00:00","2018-01-01T00:00","1996-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_36096","wikidata_24065","0.014439932291842034",,"mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","STONE","Start-Up","STONE","Start-Up","0.0","0.0","Convict Games","Monte Cristo","Convict Games","Monte Cristo","0.15384615384615385","0.15384615384615385","2018-01-01T00:00","2000-01-01T00:00","2018-01-01T00:00","2000-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_31143","wikidata_25916","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","MIRAGE","Miniconomy","MIRAGE","Miniconomy","0.0","0.0","MIRAGE VR",,"MIRAGE VR",,"0.0","0.0","2018-01-01T00:00","2002-01-01T00:00","2018-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_10237","wikidata_7347","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Teeworlds","Tetravex","Teeworlds","Tetravex","0.0","0.0","Teeworlds Team",,"Teeworlds Team",,"0.0","0.0","2015-01-01T00:00","","2015-01-01T00:00","","0.0","0.0"
"WekaMatchingRule","steam_games_30002","wikidata_20002",,"0","windows","PlayStation Portable","windows","PlayStation Portable","0.0","0.0","Off The Record: Liberty Stone Collector's Edition","Snowy: The Bear's Adventures","Off The Record: Liberty Stone Collector's Edition","Snowy: The Bear's Adventures","0.18181818181818182","0.18181818181818182","Eipix Entertainment","Aliasworlds Entertainment","Eipix Entertainment","Aliasworlds Entertainment","0.6","0.6","2018-01-01T00:00","2003-01-01T00:00","2018-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_123","wikidata_781",,"0","windows","Linux","windows","Linux","1.0","1.0","Heretic: Shadow of the Serpent Riders","Counter strike","Heretic: Shadow of the Serpent Riders","Counter strike","0.0","0.0","Raven Software","Valve Corporation","Raven Software","Valve Corporation","0.2941176470588235","0.2941176470588235","2007-01-01T00:00","2000-01-01T00:00","2007-01-01T00:00","2000-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_36521","wikidata_25820","0.012727005030853665",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","NearEscape","Necronomicon","NearEscape","Necronomicon","0.0","0.0","ElMaHeGames","MC2 France","ElMaHeGames","MC2 France","0.09090909090909094","0.09090909090909094","2018-01-01T00:00","2001-01-01T00:00","2018-01-01T00:00","2001-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_30010","wikidata_20010",,"0","mac","PlayStation 4","mac","PlayStation 4","0.0","0.0","Talk to Saki","PAW Patrol: Mighty Pups Save Adventure Bay!","Talk to Saki","PAW Patrol: Mighty Pups Save Adventure Bay!","0.0","0.0","Light",,"Light",,"0.0","0.0","2018-01-01T00:00","2020-01-01T00:00","2018-01-01T00:00","2020-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_20025","wikidata_20940","0.015109649441685198",,"windows","macOS","windows","macOS","1.0","1.0","Graveball","Gridrunner++","Graveball","Gridrunner++","0.0","0.0","Goin' Yumbo Games","Jeff Minter","Goin' Yumbo Games","Jeff Minter","0.17647058823529416","0.17647058823529416","2018-01-01T00:00","2002-01-01T00:00","2018-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_3873","wikidata_33028","0.021674054809863036",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Montas","Mothergunship","Montas","Mothergunship","0.0","0.0","Organic Humans","Grip Games","Organic Humans","Grip Games","0.3571428571428571","0.3571428571428571","2014-01-01T00:00","2018-01-01T00:00","2014-01-01T00:00","2018-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_22521","wikidata_22206","0.013428744153022166",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","BlobCat","Blur","BlobCat","Blur","0.0","0.0","BySamb","Bizarre Creations","BySamb","Bizarre Creations","0.11764705882352944","0.11764705882352944","2017-01-01T00:00","2010-01-01T00:00","2017-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_37723","wikidata_26817","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Hoyeonjigi","Horsez","Hoyeonjigi","Horsez","0.0","0.0","Yurae","MTO","Yurae","MTO","0.0","0.0","2018-01-01T00:00","2006-01-01T00:00","2018-01-01T00:00","2006-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_6426","wikidata_32140","0.013942535386833436",,"linux","Microsoft Windows","linux","Microsoft Windows","1.0","1.0","BLACKHOLE","Blackguards","BLACKHOLE","Blackguards","0.0","0.0","FiolaSoft Studio","Daedalic Entertainment","FiolaSoft Studio","Daedalic Entertainment","0.13636363636363635","0.13636363636363635","2015-01-01T00:00","2014-01-01T00:00","2015-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_1575","wikidata_32063","0.9981521202831976","1","linux","Linux","linux","Linux","1.0","1.0","Avadon: The Black Fortress","Avadon: The Black Fortress","Avadon: The Black Fortress","Avadon: The Black Fortress","1.0","1.0","Spiderweb Software","Spiderweb Software","Spiderweb Software","Spiderweb Software","1.0","1.0","2011-01-01T00:00","2011-01-01T00:00","2011-01-01T00:00","2011-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_20085","wikidata_29758","0.9956981863396042",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Fire Pro Wrestling World","Fire Pro Wrestling World","Fire Pro Wrestling World","Fire Pro Wrestling World","1.0","1.0","Spike Chunsoft Co., Ltd.","Spike Chunsoft","Spike Chunsoft Co., Ltd.","Spike Chunsoft","0.5833333333333333","0.5833333333333333","2017-01-01T00:00","2017-01-01T00:00","2017-01-01T00:00","2017-01-01T00:00","1.0","1.0"
