"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] DeveloperComparator record1Value","[2] DeveloperComparator record2Value","[2] DeveloperComparator record1PreprocessedValue","[2] DeveloperComparator record2PreprocessedValue","[2] DeveloperComparator similarity","[2] DeveloperComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","steam_games_7312","wikidata_3124","0.25",,"Bermuda","Bejeweled","Bermuda","Bejeweled","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","InvertMouse","PopCap Games","InvertMouse","PopCap Games","0.0","0.0","2015-01-01T00:00","2001-01-01T00:00","2015-01-01T00:00","2001-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_27565","wikidata_1157","0.275",,"Daemonsgate","Darwinia","Daemonsgate","Darwinia","0.0","0.0","linux","Linux","linux","Linux","1.0","1.0","Imagitec","Introversion Software","Imagitec","Introversion Software","0.1","0.1","2017-01-01T00:00","2005-01-01T00:00","2017-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_8001","wikidata_2644","0.25",,"ProtoMasons","Protogalaksija","ProtoMasons","Protogalaksija","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","ProtoMasons.com","Source Studio Ltd.","ProtoMasons.com","Source Studio Ltd.","0.0","0.0","2017-01-01T00:00","2010-01-01T00:00","2017-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_3269","wikidata_20965","0.9580882352941177",,"GRID Autosport","Grid Autosport","GRID Autosport","Grid Autosport","1.0","1.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Codemasters Racing;Feral Interactive (Mac);Feral Interactive (Linux)","Codemasters","Codemasters Racing;Feral Interactive (Mac);Feral Interactive (Linux)","Codemasters","0.8323529411764706","0.8323529411764706","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_3269","wikidata_20964","0.9580882352941177",,"GRID Autosport","Grid Autosport","GRID Autosport","Grid Autosport","1.0","1.0","mac","Linux","mac","Linux","1.0","1.0","Codemasters Racing;Feral Interactive (Mac);Feral Interactive (Linux)","Codemasters","Codemasters Racing;Feral Interactive (Mac);Feral Interactive (Linux)","Codemasters","0.8323529411764706","0.8323529411764706","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_12453","wikidata_27809","0.3758986928104575",,"Pavilion","Pandemonium!","Pavilion","Pandemonium!","0.0","0.0","linux","Microsoft Windows","linux","Microsoft Windows","1.0","1.0","Visiontrick Media","Toys for Bob","Visiontrick Media","Toys for Bob","0.50359477124183","0.50359477124183","2016-01-01T00:00","1996-01-01T00:00","2016-01-01T00:00","1996-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_19769","wikidata_22297","0.38125",,"Teria","Terraria","Teria","Terraria","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","ElZzap Software","Re-Logic","ElZzap Software","Re-Logic","0.525","0.525","2017-01-01T00:00","2011-01-01T00:00","2017-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_18199","wikidata_202","0.36957671957671956",,"Rogalia","Roblox","Rogalia","Roblox","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","TatriX;Nanalli","Roblox Corporation","TatriX;Nanalli","Roblox Corporation","0.4783068783068783","0.4783068783068783","2018-01-01T00:00","","2018-01-01T00:00","","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_612","wikidata_20912","0.5286255411255412",,"Gravitron 2","GRID 2","Gravitron 2","GRID 2","0.5","0.5","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Dark Castle Software","Codemasters","Dark Castle Software","Codemasters","0.6145021645021645","0.6145021645021645","2008-01-01T00:00","2013-01-01T00:00","2008-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_9277","wikidata_19382","0.25",,"AdvertCity","AdventureQuest","AdvertCity","AdventureQuest","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","VoxelStorm","Artix Entertainment","VoxelStorm","Artix Entertainment","0.0","0.0","2015-01-01T00:00","2002-01-01T00:00","2015-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_21113","wikidata_24202","0.5415649165649166",,"Surfasaurus","SuperHOT","Surfasaurus","SuperHOT","0.0","0.0","windows","Linux","windows","Linux","1.0","1.0","Red Triangle Games","Superhot Team","Red Triangle Games","Superhot Team","0.4995929995929996","0.4995929995929996","2017-01-01T00:00","2016-01-01T00:00","2017-01-01T00:00","2016-01-01T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","steam_games_39373","wikidata_2201","0.25",,"Ninja?","NIBBLES.BAS","Ninja?","NIBBLES.BAS","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Griffin DesBles",,"Griffin DesBles",,"0.0","0.0","2019-01-01T00:00","1991-01-01T00:00","2019-01-01T00:00","1991-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_28","wikidata_17340","0.9647058823529412",,"Half-Life 2","Half-Life 2","Half-Life 2","Half-Life 2","1.0","1.0","windows","macOS","windows","macOS","1.0","1.0","Valve","Valve Corporation","Valve","Valve Corporation","0.8588235294117647","0.8588235294117647","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_24433","wikidata_22296","0.37797619047619047",,"Teal","Terraria","Teal","Terraria","0.0","0.0","windows","Linux","windows","Linux","1.0","1.0","TealDev","Re-Logic","TealDev","Re-Logic","0.5119047619047619","0.5119047619047619","2017-01-01T00:00","2011-01-01T00:00","2017-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_31201","wikidata_30940","0.3635912698412698",,"Dissimilation","Dishonored","Dissimilation","Dishonored","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Fivesyounger Development","Arkane Studios","Fivesyounger Development","Arkane Studios","0.45436507936507936","0.45436507936507936","2018-01-01T00:00","2012-01-01T00:00","2018-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_8105","wikidata_5753","0.33333333333333337",,"Hospital Manager","Hopeless Masquerade","Hospital Manager","Hopeless Masquerade","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","CCCP","Twilight Frontier","CCCP","Twilight Frontier","0.0","0.0","2015-01-01T00:00","2013-01-01T00:00","2015-01-01T00:00","2013-01-01T00:00","0.33333333333333337","0.33333333333333337"
