"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","steam_games_7959","vg_sales_8794","0.2",,"David.","Darksiders","David.","Darksiders","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Fermenter Games","THQ","Fermenter Games","THQ","0.0","0.0","2015-01-01T00:00","2010-01-01T00:00","2015-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_25569","vg_sales_15252","0.2",,"PATHOS","Painkiller","PATHOS","Painkiller","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Accordion Games","DreamCatcher Interactive","Accordion Games","DreamCatcher Interactive","0.0","0.0","2017-01-01T00:00","2004-01-01T00:00","2017-01-01T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_31398","vg_sales_16586","0.26125",,"BREATHE","Breach","BREATHE","Breach","0.0","0.0","windows","PC","windows","PC","1.0","1.0","dotBunny","Destineer","dotBunny","Destineer","0.6124999999999999","0.6124999999999999","2018-01-01T00:00","2011-01-01T00:00","2018-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_4517","vg_sales_15486","0.5857142857142856",,"Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War: Soulstorm","Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War: Soulstorm","0.8571428571428571","0.8571428571428571","mac","PC","mac","PC","1.0","1.0","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","THQ","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","THQ","0.0","0.0","2017-01-01T00:00","2008-01-01T00:00","2017-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_35794","vg_sales_14931","0.23712121212121215",,"Paratopic","ParaWorld","Paratopic","ParaWorld","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Arbitrary Metric","Deep Silver","Arbitrary Metric","Deep Silver","0.37121212121212127","0.37121212121212127","2018-01-01T00:00","2006-01-01T00:00","2018-01-01T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_13486","vg_sales_7485","0.25317460317460316",,"Detached","Defiance","Detached","Defiance","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Anshar Studios","Trion Worlds","Anshar Studios","Trion Worlds","0.5317460317460317","0.5317460317460317","2017-01-01T00:00","2013-01-01T00:00","2017-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_12657","vg_sales_282","0.26553846153846156",,"Harmonia","Half-Life","Harmonia","Half-Life","0.0","0.0","windows","PC","windows","PC","1.0","1.0","VisualArts","Vivendi Games","VisualArts","Vivendi Games","0.6553846153846155","0.6553846153846155","2016-01-01T00:00","1997-01-01T00:00","2016-01-01T00:00","1997-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_34877","vg_sales_8845","0.2455988455988456",,"Tentlan","Terraria","Tentlan","Terraria","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Lionmoon UG","Unknown","Lionmoon UG","Unknown","0.45598845598845594","0.45598845598845594","2018-01-01T00:00","2011-01-01T00:00","2018-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_14097","vg_sales_1718","0.2588888888888889",,"Spectrubes","Spore","Spectrubes","Spore","0.0","0.0","windows","PC","windows","PC","1.0","1.0","The Light Sword Team","Electronic Arts","The Light Sword Team","Electronic Arts","0.5888888888888889","0.5888888888888889","2016-01-01T00:00","2008-01-01T00:00","2016-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_8238","vg_sales_4690","0.2",,"BIOS","BioShock","BIOS","BioShock","0.0","0.0","windows","PC","windows","PC","1.0","1.0","PIXYUL","Take-Two Interactive","PIXYUL","Take-Two Interactive","0.0","0.0","2016-01-01T00:00","2007-01-01T00:00","2016-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_9177","vg_sales_14702","0.2",,"Magi","Magicka","Magi","Magicka","0.0","0.0","windows","PC","windows","PC","1.0","1.0","MoaCube","Paradox Interactive","MoaCube","Paradox Interactive","0.0","0.0","2017-01-01T00:00","2011-01-01T00:00","2017-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_37903","vg_sales_8028","0.24685185185185188",,"Evolo.SpiderSim","Evolve","Evolo.SpiderSim","Evolve","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Metal Fox","Take-Two Interactive","Metal Fox","Take-Two Interactive","0.4685185185185185","0.4685185185185185","2018-01-01T00:00","2015-01-01T00:00","2018-01-01T00:00","2015-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_11971","vg_sales_12527","0.25073232323232325",,"Syndrome","Syndicate","Syndrome","Syndicate","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Camel 101;WhisperGames","Electronic Arts","Camel 101;WhisperGames","Electronic Arts","0.5073232323232323","0.5073232323232323","2016-01-01T00:00","1992-01-01T00:00","2016-01-01T00:00","1992-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_20977","vg_sales_3031","0.24179894179894182",,"Riskers","RIFT","Riskers","RIFT","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Meridian4","Unknown","Meridian4","Unknown","0.41798941798941797","0.41798941798941797","2017-01-01T00:00","2011-01-01T00:00","2017-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_2486","vg_sales_3937","0.2",,"Distance","Dishonored","Distance","Dishonored","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Refract","Bethesda Softworks","Refract","Bethesda Softworks","0.0","0.0","2018-01-01T00:00","2012-01-01T00:00","2018-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_682","vg_sales_16340","0.6",,"Command & Conquer: Red Alert 3 - Uprising","Command & Conquer Renegade","Command & Conquer: Red Alert 3 - Uprising","Command & Conquer Renegade","0.6666666666666666","0.6666666666666666","windows","PC","windows","PC","1.0","1.0","Electronic Arts","Electronic Arts","Electronic Arts","Electronic Arts","1.0","1.0","2009-01-01T00:00","2002-01-01T00:00","2009-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_38582","vg_sales_14636","0.2615311004784689",,"Starblazer","Stellaris","Starblazer","Stellaris","0.0","0.0","windows","PC","windows","PC","1.0","1.0","PRO2131 LLC","Paradox Interactive","PRO2131 LLC","Paradox Interactive","0.6153110047846889","0.6153110047846889","2018-01-01T00:00","2016-01-01T00:00","2018-01-01T00:00","2016-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_26286","vg_sales_13834","0.2516666666666667",,"MobileZombie","The Movies","MobileZombie","The Movies","0.0","0.0","mac","PC","mac","PC","1.0","1.0","YIMING ZHANG","Activision","YIMING ZHANG","Activision","0.5166666666666667","0.5166666666666667","2017-01-01T00:00","2005-01-01T00:00","2017-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_11972","vg_sales_12527","0.25073232323232325",,"Syndrome","Syndicate","Syndrome","Syndicate","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Camel 101;WhisperGames","Electronic Arts","Camel 101;WhisperGames","Electronic Arts","0.5073232323232323","0.5073232323232323","2016-01-01T00:00","1992-01-01T00:00","2016-01-01T00:00","1992-01-01T00:00","0.0","0.0"
