"wikidata_22617","vg_sales_7800","0.96"
"wikidata_30160","vg_sales_15015","0.96"
"wikidata_34335","vg_sales_3460","0.96"
"wikidata_20297","vg_sales_2763","0.96"
"wikidata_34014","vg_sales_2899","0.96"
"wikidata_22485","vg_sales_9201","0.96"
"wikidata_30912","vg_sales_1019","0.96"
"wikidata_18942","vg_sales_7214","0.96"
"wikidata_25068","vg_sales_3537","0.96"
"wikidata_20906","vg_sales_12101","0.96"
"wikidata_32439","vg_sales_12781","0.96"
"wikidata_15436","vg_sales_317","0.96"
"wikidata_18364","vg_sales_1979","0.96"
"wikidata_14462","vg_sales_3712","0.96"
"wikidata_27393","vg_sales_5017","0.96"
"wikidata_15122","vg_sales_1289","0.96"
"wikidata_3335","vg_sales_13133","0.96"
"wikidata_25674","vg_sales_4113","0.96"
"wikidata_33131","vg_sales_1771","0.96"
"wikidata_27391","vg_sales_5015","0.96"
"wikidata_17016","vg_sales_6252","0.96"
"wikidata_15911","vg_sales_10754","0.96"
"wikidata_21356","vg_sales_8903","0.96"
"wikidata_21558","vg_sales_2026","0.96"
"wikidata_16040","vg_sales_443","0.96"
"wikidata_22012","vg_sales_5054","0.96"
"wikidata_27452","vg_sales_13517","0.96"
"wikidata_18247","vg_sales_5354","0.96"
"wikidata_29773","vg_sales_1251","0.96"
"wikidata_18050","vg_sales_3105","0.96"
"wikidata_22282","vg_sales_2834","0.96"
"wikidata_32790","vg_sales_13230","0.96"
"wikidata_18968","vg_sales_4970","0.96"
"wikidata_13670","vg_sales_62","0.96"
"wikidata_14926","vg_sales_277","0.96"
"wikidata_17392","vg_sales_2345","0.96"
"wikidata_28087","vg_sales_3348","0.96"
"wikidata_30994","vg_sales_1096","0.96"
"wikidata_21712","vg_sales_3256","0.96"
"wikidata_22152","vg_sales_2754","0.96"
"wikidata_26330","vg_sales_4213","0.96"
"wikidata_34121","vg_sales_3473","0.96"
"wikidata_735","vg_sales_12273","0.96"
"wikidata_5018","vg_sales_11540","0.96"
"wikidata_16073","vg_sales_3182","0.96"
"wikidata_25424","vg_sales_3799","0.96"
"wikidata_4056","vg_sales_6133","0.96"
"wikidata_22309","vg_sales_11619","0.96"
"wikidata_34986","vg_sales_4542","0.96"
"wikidata_29602","vg_sales_11011","0.96"
"wikidata_18718","vg_sales_15340","0.96"
"wikidata_13744","vg_sales_73","0.96"
"wikidata_17461","vg_sales_4976","0.96"
"wikidata_18692","vg_sales_2035","0.96"
"wikidata_34031","vg_sales_16160","0.96"
"wikidata_18694","vg_sales_15798","0.96"
"wikidata_15455","vg_sales_724","0.96"
"wikidata_3212","vg_sales_2314","0.96"
"wikidata_28828","vg_sales_12939","0.96"
"wikidata_22770","vg_sales_13341","0.96"
"wikidata_25031","vg_sales_12554","0.96"
"wikidata_18785","vg_sales_1049","0.96"
"wikidata_15434","vg_sales_315","0.96"
"wikidata_34030","vg_sales_1548","0.96"
"wikidata_19610","vg_sales_8979","0.96"
"wikidata_15541","vg_sales_358","0.96"
"wikidata_30950","vg_sales_1562","0.96"
"wikidata_1171","vg_sales_11159","0.96"
"wikidata_19199","vg_sales_1011","0.96"
"wikidata_29608","vg_sales_2129","0.96"
"wikidata_1429","vg_sales_10532","0.96"
"wikidata_32676","vg_sales_7897","0.96"
"wikidata_18481","vg_sales_1166","0.96"
"wikidata_30112","vg_sales_786","0.96"
"wikidata_5743","vg_sales_9686","0.96"
"wikidata_4689","vg_sales_15871","0.96"
"wikidata_27860","vg_sales_9966","0.96"
"wikidata_25231","vg_sales_3621","0.96"
"wikidata_16379","vg_sales_3215","0.96"
"wikidata_34877","vg_sales_3891","0.96"
"wikidata_26595","vg_sales_2869","0.96"
"wikidata_30419","vg_sales_8835","0.96"
"wikidata_21424","vg_sales_2088","0.96"
"wikidata_25026","vg_sales_3488","0.96"
"wikidata_32427","vg_sales_12781","0.96"
"wikidata_29826","vg_sales_692","0.96"
"wikidata_25008","vg_sales_15672","0.96"
"wikidata_34130","vg_sales_4426","0.96"
"wikidata_26850","vg_sales_7099","0.96"
"wikidata_35866","vg_sales_7947","0.96"
"wikidata_9373","vg_sales_5594","0.96"
"wikidata_26404","vg_sales_4260","0.96"
"wikidata_19417","vg_sales_7875","0.96"
"wikidata_11850","vg_sales_9517","0.96"
"wikidata_25605","vg_sales_3947","0.96"
"wikidata_17546","vg_sales_15339","0.96"
"wikidata_25362","vg_sales_3718","0.96"
"wikidata_32441","vg_sales_3860","0.96"
"wikidata_15060","vg_sales_5640","0.96"
"wikidata_2335","vg_sales_12361","0.96"
"wikidata_27633","vg_sales_7082","0.96"
"wikidata_21393","vg_sales_14873","0.96"
"wikidata_29438","vg_sales_2920","0.96"
"wikidata_748","vg_sales_116","0.96"
"wikidata_16649","vg_sales_15942","0.96"
"wikidata_14079","vg_sales_140","0.96"
"wikidata_24952","vg_sales_3410","0.96"
"wikidata_17489","vg_sales_10591","0.96"
"wikidata_3502","vg_sales_10175","0.96"
"wikidata_25379","vg_sales_6357","0.96"
"wikidata_14912","vg_sales_193","0.96"
"wikidata_26852","vg_sales_7359","0.96"
"wikidata_29517","vg_sales_929","0.96"
"wikidata_4549","vg_sales_5523","0.96"
"wikidata_14970","vg_sales_7663","0.96"
"wikidata_28612","vg_sales_6354","0.96"
"wikidata_32316","vg_sales_1630","0.96"
"wikidata_18367","vg_sales_355","0.96"
"wikidata_14249","vg_sales_3391","0.96"
"wikidata_16170","vg_sales_539","0.96"
"wikidata_16910","vg_sales_543","0.96"
"wikidata_17536","vg_sales_774","0.96"
"wikidata_33918","vg_sales_6533","0.96"
"wikidata_18283","vg_sales_5325","0.96"
"wikidata_31431","vg_sales_12763","0.96"
"wikidata_5450","vg_sales_2481","0.96"
"wikidata_32104","vg_sales_3370","0.96"
"wikidata_32750","vg_sales_5744","0.96"
"wikidata_14949","vg_sales_723","0.96"
"wikidata_20557","vg_sales_7203","0.96"
"wikidata_31475","vg_sales_3029","0.96"
"wikidata_8665","vg_sales_4023","0.96"
"wikidata_34897","vg_sales_3908","0.96"
"wikidata_6109","vg_sales_5787","0.96"
"wikidata_22559","vg_sales_12263","0.96"
"wikidata_19440","vg_sales_15161","0.96"
"wikidata_21790","vg_sales_2466","0.96"
"wikidata_31529","vg_sales_6953","0.96"
"wikidata_17646","vg_sales_1363","0.96"
"wikidata_18101","vg_sales_8599","0.96"
"wikidata_17430","vg_sales_715","0.96"
"wikidata_23915","vg_sales_9885","0.96"
"wikidata_25633","vg_sales_3988","0.96"
"wikidata_1304","vg_sales_9237","0.96"
"wikidata_28483","vg_sales_1576","0.96"
"wikidata_27743","vg_sales_3031","0.96"
"wikidata_17938","vg_sales_741","0.96"
"wikidata_9616","vg_sales_11239","0.96"
"wikidata_34777","vg_sales_9636","0.96"
"wikidata_35461","vg_sales_6625","0.96"
"wikidata_16156","vg_sales_9502","0.96"
"wikidata_29343","vg_sales_891","0.96"
"wikidata_18493","vg_sales_5356","0.96"
"wikidata_17759","vg_sales_885","0.96"
"wikidata_15587","vg_sales_360","0.96"
"wikidata_24872","vg_sales_3291","0.96"
"wikidata_20510","vg_sales_2440","0.96"
"wikidata_28041","vg_sales_2110","0.96"
"wikidata_21604","vg_sales_2305","0.96"
"wikidata_15452","vg_sales_13596","0.96"
"wikidata_6274","vg_sales_14416","0.96"
"wikidata_13874","vg_sales_2769","0.96"
"wikidata_4242","vg_sales_2222","0.96"
"wikidata_22152","vg_sales_8440","0.96"
"wikidata_23945","vg_sales_11084","0.96"
"wikidata_20908","vg_sales_6055","0.96"
"wikidata_34216","vg_sales_3953","0.96"
"wikidata_13837","vg_sales_982","0.96"
"wikidata_14273","vg_sales_7562","0.96"
"wikidata_22289","vg_sales_16566","0.96"
"wikidata_21612","vg_sales_2271","0.96"
"wikidata_22137","vg_sales_2749","0.96"
"wikidata_33979","vg_sales_2854","0.96"
"wikidata_35715","vg_sales_6441","0.96"
"wikidata_17165","vg_sales_2878","0.96"
"wikidata_14057","vg_sales_126","0.96"
"wikidata_34906","vg_sales_6293","0.96"
"wikidata_16062","vg_sales_453","0.96"
"wikidata_24701","vg_sales_6093","0.96"
"wikidata_25631","vg_sales_3986","0.96"
"wikidata_16656","vg_sales_14268","0.96"
"wikidata_12235","vg_sales_5334","0.96"
"wikidata_27801","vg_sales_5837","0.96"
"wikidata_17931","vg_sales_12606","0.96"
"wikidata_28806","vg_sales_151","0.96"
"wikidata_11644","vg_sales_14784","0.96"
"wikidata_31707","vg_sales_5154","0.96"
"wikidata_14782","vg_sales_3857","0.96"
"wikidata_17852","vg_sales_938","0.96"
"wikidata_26928","vg_sales_13369","0.96"
"wikidata_25882","vg_sales_9109","0.96"
"wikidata_13594","vg_sales_20","0.96"
"wikidata_2325","vg_sales_13180","0.96"
"wikidata_29373","vg_sales_519","0.96"
"wikidata_31515","vg_sales_2325","0.96"
"wikidata_27795","vg_sales_11373","0.96"
"wikidata_15395","vg_sales_2252","0.96"
"wikidata_17460","vg_sales_1061","0.96"
"wikidata_35751","vg_sales_9481","0.96"
"wikidata_35995","vg_sales_13193","0.96"
"wikidata_24913","vg_sales_7453","0.96"
"wikidata_2531","vg_sales_3312","0.96"
"wikidata_29716","vg_sales_642","0.96"
"wikidata_33813","vg_sales_2668","0.96"
"wikidata_25686","vg_sales_4149","0.96"
"wikidata_5519","vg_sales_15861","0.96"
"wikidata_13680","vg_sales_4409","0.96"
"wikidata_31397","vg_sales_7344","0.96"
"wikidata_10467","vg_sales_15005","0.96"
"wikidata_32414","vg_sales_3399","0.96"
"wikidata_25684","vg_sales_4147","0.96"
"wikidata_31427","vg_sales_2835","0.96"
"wikidata_729","vg_sales_9662","0.96"
"wikidata_24831","vg_sales_385","0.96"
"wikidata_14747","vg_sales_8162","0.96"
"wikidata_17815","vg_sales_920","0.96"
"wikidata_17209","vg_sales_1449","0.96"
"wikidata_29954","vg_sales_2307","0.96"
"wikidata_13967","vg_sales_111","0.96"
"wikidata_20066","vg_sales_15426","0.96"
"wikidata_14143","vg_sales_13585","0.96"
"wikidata_29965","vg_sales_10977","0.96"
"wikidata_13448","vg_sales_7","0.96"
"wikidata_31548","vg_sales_6655","0.96"
"wikidata_13494","vg_sales_6","0.96"
