"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","wikidata_193","vg_sales_14621","0.004290250166656187",,"007 : Quitte ou double","101-in-1 Sports Party Megamix","007 : Quitte ou double","101-in-1 Sports Party Megamix","0.0","0.0","Nintendo GameCube","Wii","Nintendo GameCube","Wii","0.0","0.0","Electronic Arts","Nordcurrent","Electronic Arts","Nordcurrent","0.0","0.0","2003-01-01T00:00","2010-01-01T00:00","2003-01-01T00:00","2010-01-01T00:00","0.30000000000000004","0.30000000000000004"
"WekaMatchingRule","wikidata_10867","vg_sales_12402","0.004290250166656187",,"'98 Koushien: Koukou Yakyuu Simulation","2 Games in 1: Sonic Pinball Party & Columns Crown","'98 Koushien: Koukou Yakyuu Simulation","2 Games in 1: Sonic Pinball Party & Columns Crown","0.0","0.0","PlayStation","GBA","PlayStation","GBA","0.0","0.0",,"Sega",,"Sega","0.0","0.0","1998-01-01T00:00","2005-01-01T00:00","1998-01-01T00:00","2005-01-01T00:00","0.30000000000000004","0.30000000000000004"
"WekaMatchingRule","wikidata_9177","vg_sales_838","0.02205952557111131",,"(Brothers in Arms (2008","1080°: TenEighty Snowboarding","(Brothers in Arms (2008","1080°: TenEighty Snowboarding","0.0","0.0","N-Gage","N64","N-Gage","N64","0.25","0.25","Gameloft","Nintendo","Gameloft","Nintendo","0.47222222222222215","0.47222222222222215","2008-01-01T00:00","1998-01-01T00:00","2008-01-01T00:00","1998-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_1029","vg_sales_13697",,"0","Dragon Quest Swords","Banushi Life Game: Winner's Circle","Dragon Quest Swords","Banushi Life Game: Winner's Circle","0.0","0.0","Nintendo Wii","DS","Nintendo Wii","DS","0.0","0.0","Square Enix","Genki","Square Enix","Genki","0.0","0.0","2007-01-01T00:00","2007-01-01T00:00","2007-01-01T00:00","2007-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_10867","vg_sales_1564","0.004290250166656187",,"'98 Koushien: Koukou Yakyuu Simulation",".hack//Infection Part 1","'98 Koushien: Koukou Yakyuu Simulation",".hack//Infection Part 1","0.0","0.0","PlayStation","PS2","PlayStation","PS2","0.0","0.0",,"Atari",,"Atari","0.0","0.0","1998-01-01T00:00","2002-01-01T00:00","1998-01-01T00:00","2002-01-01T00:00","0.6","0.6"
"WekaMatchingRule","wikidata_9018","vg_sales_8430","0.004290250166656187",,"'98 Kōshien","25 to Life","'98 Kōshien","25 to Life","0.0","0.0","PlayStation","XB","PlayStation","XB","0.0","0.0",,"Eidos Interactive",,"Eidos Interactive","0.0","0.0","1998-01-01T00:00","2006-01-01T00:00","1998-01-01T00:00","2006-01-01T00:00","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","wikidata_9177","vg_sales_14777","0.010994430868300542",,"(Brothers in Arms (2008","3DS Classic Collection","(Brothers in Arms (2008","3DS Classic Collection","0.0","0.0","N-Gage","3DS","N-Gage","3DS","0.0","0.0","Gameloft","Sega","Gameloft","Sega","0.5972222222222222","0.5972222222222222","2008-01-01T00:00","2016-01-01T00:00","2008-01-01T00:00","2016-01-01T00:00","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","wikidata_191","vg_sales_1613","0.020631329416566754",,"007 : Quitte ou double","2010 FIFA World Cup South Africa","007 : Quitte ou double","2010 FIFA World Cup South Africa","0.0","0.0","PlayStation 2","PS3","PlayStation 2","PS3","0.0","0.0","Electronic Arts","Electronic Arts","Electronic Arts","Electronic Arts","1.0","1.0","2003-01-01T00:00","2010-01-01T00:00","2003-01-01T00:00","2010-01-01T00:00","0.30000000000000004","0.30000000000000004"
"WekaMatchingRule","wikidata_9018","vg_sales_7108","0.004290250166656187",,"'98 Kōshien",".hack//G.U. Vol.2//Reminisce","'98 Kōshien",".hack//G.U. Vol.2//Reminisce","0.0","0.0","PlayStation","PS2","PlayStation","PS2","0.0","0.0",,"Namco Bandai Games",,"Namco Bandai Games","0.0","0.0","1998-01-01T00:00","2006-01-01T00:00","1998-01-01T00:00","2006-01-01T00:00","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","wikidata_10867","vg_sales_4831","0.004290250166656187",,"'98 Koushien: Koukou Yakyuu Simulation","18 Wheeler: American Pro Trucker","'98 Koushien: Koukou Yakyuu Simulation","18 Wheeler: American Pro Trucker","0.0","0.0","PlayStation","PS2","PlayStation","PS2","0.0","0.0",,"Acclaim Entertainment",,"Acclaim Entertainment","0.0","0.0","1998-01-01T00:00","2001-01-01T00:00","1998-01-01T00:00","2001-01-01T00:00","0.7","0.7"
"WekaMatchingRule","wikidata_194","vg_sales_11434","0.009881935508263865",,"007 : Quitte ou double","3 in 1: Solitaire, Mahjong & Tangram","007 : Quitte ou double","3 in 1: Solitaire, Mahjong & Tangram","0.0","0.0","Game Boy Advance","DS","Game Boy Advance","DS","0.0","0.0","Electronic Arts","Deep Silver","Electronic Arts","Deep Silver","0.5292929292929293","0.5292929292929293","2003-01-01T00:00","2010-01-01T00:00","2003-01-01T00:00","2010-01-01T00:00","0.30000000000000004","0.30000000000000004"
"WekaMatchingRule","wikidata_29999","vg_sales_15006","0.004290250166656187",,"#SelfieTennis","11eyes: CrossOver","#SelfieTennis","11eyes: CrossOver","0.0","0.0","Microsoft Windows","X360","Microsoft Windows","X360","0.0","0.0","Devolver Digital","5pb","Devolver Digital","5pb","0.0","0.0","2016-01-01T00:00","2009-01-01T00:00","2016-01-01T00:00","2009-01-01T00:00","0.30000000000000004","0.30000000000000004"
"WekaMatchingRule","wikidata_9724","vg_sales_8895","0.006957657393980008",,"007 : Espion pour cible","187: Ride or Die","007 : Espion pour cible","187: Ride or Die","0.0","0.0","Xbox","PS2","Xbox","PS2","0.0","0.0","Electronic Arts","Ubisoft","Electronic Arts","Ubisoft","0.3063492063492063","0.3063492063492063","2001-01-01T00:00","2005-01-01T00:00","2001-01-01T00:00","2005-01-01T00:00","0.6","0.6"
"WekaMatchingRule","wikidata_12210","vg_sales_5656",,"0","7 Wonders of the Ancient World","7 Wonders II","7 Wonders of the Ancient World","7 Wonders II","0.6666666666666666","0.6666666666666666","Microsoft Windows","DS","Microsoft Windows","DS","0.0","0.0","MumboJumbo","Rondomedia","MumboJumbo","Rondomedia","0.4222222222222222","0.4222222222222222","2007-01-01T00:00","2009-01-01T00:00","2007-01-01T00:00","2009-01-01T00:00","0.8","0.8"
"WekaMatchingRule","wikidata_9723","vg_sales_7131","0.009082968057340286",,"007 : Espion pour cible","3rd Super Robot Wars Z Jigoku Hen","007 : Espion pour cible","3rd Super Robot Wars Z Jigoku Hen","0.0","0.0","PlayStation 2","PS3","PlayStation 2","PS3","0.0","0.0","Electronic Arts","Namco Bandai Games","Electronic Arts","Namco Bandai Games","0.4756613756613757","0.4756613756613757","2001-01-01T00:00","2014-01-01T00:00","2001-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_9177","vg_sales_13691","0.01020870418431165",,"(Brothers in Arms (2008","12Riven: The Psi-Climinal of Integral","(Brothers in Arms (2008","12Riven: The Psi-Climinal of Integral","0.0","0.0","N-Gage","PS2","N-Gage","PS2","0.0","0.0","Gameloft","CyberFront","Gameloft","CyberFront","0.5499999999999999","0.5499999999999999","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_9723","vg_sales_9319","0.02706623893519078",,"007 : Espion pour cible","007: Quantum of Solace","007 : Espion pour cible","007: Quantum of Solace","0.25","0.25","PlayStation 2","DS","PlayStation 2","DS","0.0","0.0","Electronic Arts","Activision","Electronic Arts","Activision","0.5444444444444444","0.5444444444444444","2001-01-01T00:00","2008-01-01T00:00","2001-01-01T00:00","2008-01-01T00:00","0.30000000000000004","0.30000000000000004"
"WekaMatchingRule","wikidata_9725","vg_sales_8847","0.009082968057340286",,"007 : Espion pour cible","3rd Super Robot Wars Z: Tengoku-Hen","007 : Espion pour cible","3rd Super Robot Wars Z: Tengoku-Hen","0.0","0.0","Nintendo GameCube","PS3","Nintendo GameCube","PS3","0.0","0.0","Electronic Arts","Namco Bandai Games","Electronic Arts","Namco Bandai Games","0.4756613756613757","0.4756613756613757","2001-01-01T00:00","2015-01-01T00:00","2001-01-01T00:00","2015-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_10867","vg_sales_3771","0.004290250166656187",,"'98 Koushien: Koukou Yakyuu Simulation","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","'98 Koushien: Koukou Yakyuu Simulation","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","0.0","0.0","PlayStation","XB","PlayStation","XB","0.0","0.0",,"Sega",,"Sega","0.0","0.0","1998-01-01T00:00","2004-01-01T00:00","1998-01-01T00:00","2004-01-01T00:00","0.4","0.4"
"WekaMatchingRule","wikidata_29999","vg_sales_1740","0.008955385099623441",,"#SelfieTennis","007: Quantum of Solace","#SelfieTennis","007: Quantum of Solace","0.0","0.0","Microsoft Windows","PS3","Microsoft Windows","PS3","0.0","0.0","Devolver Digital","Activision","Devolver Digital","Activision","0.4666666666666666","0.4666666666666666","2016-01-01T00:00","2008-01-01T00:00","2016-01-01T00:00","2008-01-01T00:00","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","wikidata_9725","vg_sales_2060","0.009273868342161162",,"007 : Espion pour cible","1942","007 : Espion pour cible","1942","0.0","0.0","Nintendo GameCube","NES","Nintendo GameCube","NES","0.0","0.0","Electronic Arts","Capcom","Electronic Arts","Capcom","0.48888888888888893","0.48888888888888893","2001-01-01T00:00","1985-01-01T00:00","2001-01-01T00:00","1985-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_9018","vg_sales_9972","0.004290250166656187",,"'98 Kōshien","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","'98 Kōshien","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","0.0","0.0","PlayStation","X360","PlayStation","X360","0.0","0.0",,"Ubisoft",,"Ubisoft","0.0","0.0","1998-01-01T00:00","2013-01-01T00:00","1998-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_9177","vg_sales_11232","0.011908875321599082",,"(Brothers in Arms (2008","1 vs. 100","(Brothers in Arms (2008","1 vs. 100","0.0","0.0","N-Gage","DS","N-Gage","DS","0.0","0.0","Gameloft","DSI Games","Gameloft","DSI Games","0.6481481481481481","0.6481481481481481","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_10867","vg_sales_421","0.1390531134293811",,"'98 Koushien: Koukou Yakyuu Simulation","007: Tomorrow Never Dies","'98 Koushien: Koukou Yakyuu Simulation","007: Tomorrow Never Dies","0.0","0.0","PlayStation","PS","PlayStation","PS","1.0","1.0",,"Electronic Arts",,"Electronic Arts","0.0","0.0","1998-01-01T00:00","1999-01-01T00:00","1998-01-01T00:00","1999-01-01T00:00","0.9","0.9"
"WekaMatchingRule","wikidata_9723","vg_sales_8430","0.012367507929167916",,"007 : Espion pour cible","25 to Life","007 : Espion pour cible","25 to Life","0.0","0.0","PlayStation 2","XB","PlayStation 2","XB","0.0","0.0","Electronic Arts","Eidos Interactive","Electronic Arts","Eidos Interactive","0.6722519310754604","0.6722519310754604","2001-01-01T00:00","2006-01-01T00:00","2001-01-01T00:00","2006-01-01T00:00","0.5","0.5"
"WekaMatchingRule","wikidata_9724","vg_sales_7114","0.004290250166656187",,"007 : Espion pour cible","101-in-1 Party Megamix Wii","007 : Espion pour cible","101-in-1 Party Megamix Wii","0.0","0.0","Xbox","Wii","Xbox","Wii","0.0","0.0","Electronic Arts","Nordcurrent","Electronic Arts","Nordcurrent","0.0","0.0","2001-01-01T00:00","2009-01-01T00:00","2001-01-01T00:00","2009-01-01T00:00","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","wikidata_191","vg_sales_12236","0.008350581635878982",,"007 : Quitte ou double","12-Sai. Honto no Kimochi","007 : Quitte ou double","12-Sai. Honto no Kimochi","0.0","0.0","PlayStation 2","3DS","PlayStation 2","3DS","0.0","0.0","Electronic Arts","Happinet","Electronic Arts","Happinet","0.4222222222222222","0.4222222222222222","2003-01-01T00:00","2014-01-01T00:00","2003-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_194","vg_sales_9972","0.006957657393980008",,"007 : Quitte ou double","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","007 : Quitte ou double","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","0.0","0.0","Game Boy Advance","X360","Game Boy Advance","X360","0.0","0.0","Electronic Arts","Ubisoft","Electronic Arts","Ubisoft","0.3063492063492063","0.3063492063492063","2003-01-01T00:00","2013-01-01T00:00","2003-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_9177","vg_sales_4711","0.009212250885892132",,"(Brothers in Arms (2008","300: March to Glory","(Brothers in Arms (2008","300: March to Glory","0.0","0.0","N-Gage","PSP","N-Gage","PSP","0.0","0.0","Gameloft","Warner Bros. Interactive Entertainment","Gameloft","Warner Bros. Interactive Entertainment","0.48464912280701755","0.48464912280701755","2008-01-01T00:00","2007-01-01T00:00","2008-01-01T00:00","2007-01-01T00:00","0.9","0.9"
"WekaMatchingRule","wikidata_35979","vg_sales_2060","0.004290250166656187",,"..and the mooncats","1942","..and the mooncats","1942","0.0","0.0","Microsoft Windows","NES","Microsoft Windows","NES","0.0","0.0",,"Capcom",,"Capcom","0.0","0.0","2015-01-01T00:00","1985-01-01T00:00","2015-01-01T00:00","1985-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_17889","vg_sales_8395",,"0","The SpongeBob SquarePants Movie","Disney Golf","The SpongeBob SquarePants Movie","Disney Golf","0.0","0.0","Xbox","PS2","Xbox","PS2","0.0","0.0","THQ","Electronic Arts","THQ","Electronic Arts","0.0","0.0","2004-01-01T00:00","2002-01-01T00:00","2004-01-01T00:00","2002-01-01T00:00","0.8","0.8"
"WekaMatchingRule","wikidata_9018","vg_sales_4295","0.004290250166656187",,"'98 Kōshien",".hack//Outbreak Part 3","'98 Kōshien",".hack//Outbreak Part 3","0.0","0.0","PlayStation","PS2","PlayStation","PS2","0.0","0.0",,"Atari",,"Atari","0.0","0.0","1998-01-01T00:00","2002-01-01T00:00","1998-01-01T00:00","2002-01-01T00:00","0.6","0.6"
"WekaMatchingRule","wikidata_191","vg_sales_10076","0.011057484306542112",,"007 : Quitte ou double","18 Wheeler: American Pro Trucker","007 : Quitte ou double","18 Wheeler: American Pro Trucker","0.0","0.0","PlayStation 2","GC","PlayStation 2","GC","0.0","0.0","Electronic Arts","Acclaim Entertainment","Electronic Arts","Acclaim Entertainment","0.6008658008658009","0.6008658008658009","2003-01-01T00:00","2002-01-01T00:00","2003-01-01T00:00","2002-01-01T00:00","0.9","0.9"
"WekaMatchingRule","wikidata_9177","vg_sales_10159","0.008685618504409692",,"(Brothers in Arms (2008","18 Wheels of Steel: Extreme Trucker 2","(Brothers in Arms (2008","18 Wheels of Steel: Extreme Trucker 2","0.0","0.0","N-Gage","PC","N-Gage","PC","0.0","0.0","Gameloft","Rondomedia","Gameloft","Rondomedia","0.44722222222222224","0.44722222222222224","2008-01-01T00:00","2011-01-01T00:00","2008-01-01T00:00","2011-01-01T00:00","0.7","0.7"
